beefy	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'a. (牛)多肉的, 象牛肉的, 粗壮的, 结实的', ""'bi:fi"", 'beefy', 's. muscular and heavily built'}"
gloatingly	Malfoy’s eagle owl was always bringing him packages of sweets from home, which he opened gloatingly at the Slytherin table.A barn owl brought Neville a small package from his grandmother.	"{'gloatingly', 'r in a gloating manner', ""ɡ'ləʊtɪŋlɪ"", 'adv. 沾沾自喜地'}"
breezy	It was a clear, breezy day, and the grass rippled under their feet as they marched down the sloping lawns toward a smooth, flat lawn on the opposite side of the grounds to the forbidden forest, whose trees were swaying darkly in the distance.The Slytherins were already there, and so were twenty broomsticks lying in neat lines on the ground.	"{'s. fresh and animated', 'a. 有微风的, 通风好的, 活泼的', 'breezy', ""'bri:zi""}"
sloping	It was a clear, breezy day, and the grass rippled under their feet as they marched down the sloping lawns toward a smooth, flat lawn on the opposite side of the grounds to the forbidden forest, whose trees were swaying darkly in the distance.The Slytherins were already there, and so were twenty broomsticks lying in neat lines on the ground.	"{'s. having a slanting form or direction', ""'slәjpiŋ"", 'a. 成斜坡的, 倾斜的', 'sloping'}"
swaying	It was a clear, breezy day, and the grass rippled under their feet as they marched down the sloping lawns toward a smooth, flat lawn on the opposite side of the grounds to the forbidden forest, whose trees were swaying darkly in the distance.The Slytherins were already there, and so were twenty broomsticks lying in neat lines on the ground.	{'v. （使）摇摆, （使）摇动( sway的现在分词 ); 影响、改变…的观点[行动]; 横荡; 晃晃悠悠', 'swaying', 'sweiŋ', 'v move back and forth or sideways\nv move or walk in a swinging or swaying manner\nv win approval or support for\nv cause to move back and forth'}
vibrate	Harry had heard Fred and George Weasley complain about the school brooms, saying that some of them started to vibrate if you flew too high, or always flew slightly to the left.Their teacher, Madam Hooch, arrived.	"{""'vaibreit"", 'vibrate', 'v. shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner', 'vi. 振动, 颤动, 激动, 摇摆, 踌躇\nvt. 使颤动, 使振动, 使摆动'}"
quaver	Perhaps brooms, like horses, could tell when you were afraid, thought Harry; there was a quaver in Neville’s voice that said only too clearly that he wanted to keep his feet on the ground.Madam Hooch then showed them how to mount their brooms without sliding off the end, and walked up and down the rows correcting their grips.	"{'n. a tremulous sound\nv. give off unsteady sounds, alternating in amplitude or frequency', ""'kweivә"", 'vi. 发颤音, 颤抖\nvt. 颤抖地说, 用颤声唱出\nn. 颤抖, 颤声, 八分音符', 'quaver'}"
correcting	Perhaps brooms, like horses, could tell when you were afraid, thought Harry; there was a quaver in Neville’s voice that said only too clearly that he wanted to keep his feet on the ground.Madam Hooch then showed them how to mount their brooms without sliding off the end, and walked up and down the rows correcting their grips.	{'correcting', '', 'v make right or correct\nv make reparations or amends for\nv censure severely\nv adjust for\nv punish in order to gain control or enforce obedience\nv go down in value\nv alter or regulate so as to achieve accuracy or conform to a standard\nv treat a defect', '[计] 校正的'}
jumpy	On my whistle — three — two —”But Neville, nervous and jumpy and frightened of being left on the ground, pushed off hard before the whistle had touched Madam Hooch’s lips.“Come back, boy!” she shouted, but Neville was rising straight up like a cork shot out of a bottle — twelve feet — twenty feet.	"{""'dʒʌmpi"", 's being in a tense state\na causing or characterized by jolts and irregular movements', 'a. 跳跃的, 跳动的, 神经质的', 'jumpy'}"
wham	[]	{'hwæm', 'wham', 'n. 重打声\nv. 重打', 'v hit hard'}
thud	Harry saw his scared white face look down at the ground falling away, saw him gasp, slip sideways off the broom and —WHAM — a thud and a nasty crack and Neville lay facedown on the grass in a heap.	{'θʌd', 'thud', 'n. 砰的一声, 重击\nvi. 砰的一声掉下, 嘭的一声', 'v. make a dull sound\nv. strike with a dull sound'}
drift	Dursley might have been drifting into an uneasy sleep, but the cat on the wall outside was showing no sign of sleepiness.	{'drift', 'n. 漂流物, 漂流, 动向\nv. (使)漂流', 'n. a force that moves something along\nn. the gradual departure from an intended course due to external influences (as a ship or plane)\nn. a process of linguistic change over a period of time\nn. a large mass of material that is heaped up by the wind or by water currents'}
lazily	His broomstick was still rising higher and higher, and started to drift lazily toward the forbidden forest and out of sight.Madam Hooch was bending over Neville, her face as white as his.“Broken wrist,” Harry heard her mutter.	"{'lazily', ""'leizili"", 'r. in a slow and lazy manner', 'adv. 懒洋洋地'}"
bending	His broomstick was still rising higher and higher, and started to drift lazily toward the forbidden forest and out of sight.Madam Hooch was bending over Neville, her face as white as his.“Broken wrist,” Harry heard her mutter.	"{'[化] 弯曲; 弯曲度', ""'bendiŋ"", 'bending', 'n. movement that causes the formation of a curve\nn. the act of bending something'}"
sooner	You leave those brooms where they are or you’ll be out of Hogwarts before you can say ‘Quidditch.’ Come on, dear.”Neville, his face tearstreaked, clutching his wrist, hobbled off with Madam Hooch, who had her arm around him.No sooner were they out of earshot than Malfoy burst into laughter.“Did you see his face, the great lump?”The other Slytherins joined in.“Shut up, Malfoy,” snapped Parvati Patil.“Ooh, sticking up for Longbottom?” said Pansy Parkinson, a hardfaced Slytherin girl.	"{'n. (美)(非正式)抢先占有土地者, 抢先而获得不正当利益的人', ""r. comparatives of `soon' or `early'"", ""'su:nә"", 'sooner'}"
earshot	You leave those brooms where they are or you’ll be out of Hogwarts before you can say ‘Quidditch.’ Come on, dear.”Neville, his face tearstreaked, clutching his wrist, hobbled off with Madam Hooch, who had her arm around him.No sooner were they out of earshot than Malfoy burst into laughter.“Did you see his face, the great lump?”The other Slytherins joined in.“Shut up, Malfoy,” snapped Parvati Patil.“Ooh, sticking up for Longbottom?” said Pansy Parkinson, a hardfaced Slytherin girl.	"{""'iәʃɒt"", 'n. 听力所及之范围, 可听距离', 'earshot', 'n. the range within which a voice can be heard'}"
sticking	All this ‘YouKnowWho’ nonsense — for eleven years I have been trying to persuade people to call him by his proper name: Voldemort.” Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice.	"{'sticking', 'v put, fix, force, or implant\nv stay put (in a certain place); we are not moving to Cincinnati""\nv stick to firmly\nv be or become fixed\nv endure\nv be a devoted follower or supporter\nv be loyal to\nv cover and decorate with objects that pierce the surface\nv fasten with an adhesive material like glue\nv fasten with or as with pins or nails\nv fasten into place by fixing an end or point into something\nv pierce with a thrust using a pointed instrument\nv pierce or penetrate or puncture with something pointed\nv come or be in close contact with; stick or hold together and resist separation\nv saddle with something disagreeable or disadvantageous\nv be a mystery or bewildering to\ns extending out above or beyond a surface or boundary', 'a. 粘的, 有粘性的\n[计] 坚持性', ""'stikiŋ""}"
darting	“Never thought you’d like fat little crybabies, Parvati.”“Look!” said Malfoy, darting forward and snatching something out of the grass.	{'v. 投掷, 投射( dart的现在分词 ); 向前冲, 飞奔', 'dɑ:tɪŋ', 'v move along rapidly and lightly; skim or dart\nv run or move very quickly or hastily\nv move with sudden speed', 'darting'}
snatching	“Never thought you’d like fat little crybabies, Parvati.”“Look!” said Malfoy, darting forward and snatching something out of the grass.	{'', 'v to grasp hastily or eagerly\nv to make grasping motions\nv take away to an undisclosed location against their will and usually in order to extract a ransom', 'snatching', 'n. 冲动；抢掠；[印]纸张撕裂'}
nastily	Everyone stopped talking to watch.Malfoy smiled nastily.“I think I’ll leave it somewhere for Longbottom to find — how about — up a tree?”“Give it here!” Harry yelled, but Malfoy had leapt onto his broomstick and taken off.	"{'r. in a nasty ill-tempered manner', 'adv. 污秽地, 不洁地, 讨厌地', ""'nɑ:stili"", 'nastily'}"
topmost	Hovering level with the topmost branches of an oak he called, “Come and get it, Potter!”Harry grabbed his broom.“No!” shouted Hermione Granger.	"{'a. 最高的, 顶端的', 's. at or nearest to the top', ""'tɒpmәust"", 'topmost'}"
pounding	Blood was pounding in his ears.	"{'n. 重击；重击声', 'pounding', 'n. repeated heavy blows', ""'pәundiŋ""}"
whoop	Hagrid whooped and clapped and Mr. Ollivander cried, “Oh, bravo!	{'n. a loud hooting cry of exultation or excitement\nv. shout, as if with joy or enthusiasm', 'hwu:p', 'whoop', 'n. 大叫, 呐喊, 一点点\nvi. 叫喊, 鸣叫\nvt. 高声说, 唤起'}
javelin	He leaned forward and grasped the broom tightly in both hands, and it shot toward Malfoy like a javelin.	"{""'dʒævlin"", 'n. 标枪', 'javelin', 'n. an athletic competition in which a javelin is thrown as far as possible\nn. a spear thrown as a weapon or in competitive field events'}"
streaked	You leave those brooms where they are or you’ll be out of Hogwarts before you can say ‘Quidditch.’ Come on, dear.”Neville, his face tearstreaked, clutching his wrist, hobbled off with Madam Hooch, who had her arm around him.No sooner were they out of earshot than Malfoy burst into laughter.“Did you see his face, the great lump?”The other Slytherins joined in.“Shut up, Malfoy,” snapped Parvati Patil.“Ooh, sticking up for Longbottom?” said Pansy Parkinson, a hardfaced Slytherin girl.	{'streaked', 'a. 有条纹的', 'stri:kt', 's. marked with or as if with stripes or linear discolorations'}
speechless	He got to his feet, trembling.“Never — in all my time at Hogwarts —”Professor McGonagall was almost speechless with shock, and her glasses flashed furiously, “— how dare you — might have broken your neck —”“It wasn’t his fault, Professor —”“Be quiet, Miss Patil —”“But Malfoy —”“That’s enough, Mr. Weasley.	"{'a. 不会说话的, 哑的, 说不出话的, 无言的, 非言语所能表达的, (非正式)烂醉的', 's. temporarily incapable of speaking', 'speechless', ""'spi:tʃlis""}"
triumphant	Potter, follow me, now.”Harry caught sight of Malfoy, Crabbe, and Goyle’s triumphant faces as he left, walking numbly in Professor McGonagall’s wake as she strode toward the castle.	"{'a. 得胜的, 得意洋洋的', 'triumphant', ""trai'ʌmfәnt"", 's. experiencing triumph'}"
numbly	Potter, follow me, now.”Harry caught sight of Malfoy, Crabbe, and Goyle’s triumphant faces as he left, walking numbly in Professor McGonagall’s wake as she strode toward the castle.	"{'adv. 失去知觉, 麻木', 'r. in a numb manner; without feeling', 'numbly', ""'nʌmli""}"
borrow	Send us an answer back with Hedwig.HagridHarry borrowed Ron’s quill, scribbled Yes, please, see you later on the back of the note, and sent Hedwig off again.It was lucky that Harry had tea with Hagrid to look forward to, because the Potions lesson turned out to be the worst thing that had happened to him so far.At the startofterm banquet, Harry had gotten the idea that Professor Snape disliked him.	"{'borrow', 'vt. 借, 借入, 借用\nvi. 借\n[计] 借位; 借位数', ""'bɒrәu"", 'v. get temporarily'}"
cane	thought Harry, bewildered; was Wood a cane she was going to use on him?But Wood turned out to be a person, a burly fifthyear boy who came out of Flitwick’s class looking confused.“Follow me, you two,” said Professor McGonagall, and they marched on up the corridor, Wood looking curiously at Harry.“In here.”Professor McGonagall pointed them into a classroom that was empty except for Peeves, who was busy writing rude words on the blackboard.“Out, Peeves!” she barked.	{'kein', 'n. a stick that people can lean on to help them walk\nn. a strong slender often flexible stem as of bamboos, reeds, rattans, or sugar cane\nn. a stiff switch used to hit students as punishment\nv. beat with a cane', 'n. 手杖, 细长的茎, 藤条\nvt. 以杖击, 以藤编制', 'cane'}
burly	thought Harry, bewildered; was Wood a cane she was going to use on him?But Wood turned out to be a person, a burly fifthyear boy who came out of Flitwick’s class looking confused.“Follow me, you two,” said Professor McGonagall, and they marched on up the corridor, Wood looking curiously at Harry.“In here.”Professor McGonagall pointed them into a classroom that was empty except for Peeves, who was busy writing rude words on the blackboard.“Out, Peeves!” she barked.	"{""'bә:li"", 'a. 结实的, 粗壮的, 率直的', 's muscular and heavily built', 'burly'}"
blackboard	thought Harry, bewildered; was Wood a cane she was going to use on him?But Wood turned out to be a person, a burly fifthyear boy who came out of Flitwick’s class looking confused.“Follow me, you two,” said Professor McGonagall, and they marched on up the corridor, Wood looking curiously at Harry.“In here.”Professor McGonagall pointed them into a classroom that was empty except for Peeves, who was busy writing rude words on the blackboard.“Out, Peeves!” she barked.	"{""'blækbɒ:d"", 'blackboard', 'n. 黑板', 'n. sheet of slate; for writing with chalk'}"
puzzlement	Wood — I’ve found you a Seeker.”Wood’s expression changed from puzzlement to delight.“Are you serious, Professor?”“Absolutely,” said Professor McGonagall crisply.	"{""'pʌzlmәnt"", 'puzzlement', 'n. 迷惑', 'n confusion resulting from failure to understand'}"
crisply	Wood — I’ve found you a Seeker.”Wood’s expression changed from puzzlement to delight.“Are you serious, Professor?”“Absolutely,” said Professor McGonagall crisply.	{'adv. 酥脆地, 爽快地', 'krɪsplɪ', 'r in a well delineated manner', 'crisply'}
clue	He didn’t have a clue what was going on, but he didn’t seem to be being expelled, and some of the feeling started coming back to his legs.“He caught that thing in his hand after a fiftyfoot dive,” Professor McGonagall told Wood.	{'klu:', 'clue', 'n. evidence that helps to solve a problem\nv. roll into a ball', 'n. 线索, 暗示\nvt. 暗示, 提供线索'}
speedy	“Light —speedy — we’ll have to get him a decent broom, Professor — a Nimbus Two Thousand or a Cleansweep Seven, I’d say.”“I shall speak to Professor Dumbledore and see if we can’t bend the firstyear rule.	"{'a. 快的, 迅速的\n[经] 快的, 迅速的', 's characterized by speed; moving with or capable of moving with high speed\ns accomplished rapidly and without delay', ""'spi:di"", 'speedy'}"
sternly	Flattened in that last match by Slytherin, I couldn’t look Severus Snape in the face for weeks.…”Professor McGonagall peered sternly over her glasses at Harry.“I want to hear you’re training hard, Potter, or I may change my mind about punishing you.”Then she suddenly smiled.“Your father would have been proud,” she said.	"{""'stә:nli"", 'adv. 严格地, 严肃地, 严厉地', 'r. with sternness; in a severe manner', 'sternly'}"
dinnertime	“He was an excellent Quidditch player himself.”“You’re joking.”It was dinnertime.	"{""'dɪnərtaɪm"", 'dinnertime', 'n. the customary or habitual hour for the evening meal', 'n. 正餐时间'}"
skipping	You must be good, Harry, Wood was almost skipping when he told us.”“Anyway, we’ve got to go, Lee Jordan reckons he’s found a new secret passageway out of the school.”“Bet it’s that one behind the statue of Gregory the Smarmy that we found in our first week.	"{'v bypass\nv intentionally fail to attend\nv jump lightly\nv leave suddenly\nv bound off one point after another\nv cause to skip over a surface', '[计] 跳跃', ""'skipiŋ"", 'skipping'}"
flanked	See you.”Fred and George had hardly disappeared when someone far less welcome turned up: Malfoy, flanked by Crabbe and Goyle.“Having a last meal, Potter?	{'', 'vi. 位于…的侧面', 'flanked', 'imp. & p. p. of Flank'}
coolly	I can help you there.”He held out his hand to shake Harry’s, but Harry didn’t take it.“I think I can tell who the wrong sort are for myself, thanks,” he said coolly.Draco Malfoy didn’t go red, but a pink tinge appeared in his pale cheeks.“I’d be careful if I were you, Potter,” he said slowly.	"{'coolly', ""'ku:li"", 'adv. 沉着, 自若', 'r. in a composed and unconcerned manner'}"
scowl	You’ll be in trouble before we even get there!”“Scabbers has been fighting, not us,” said Ron, scowling at her.	{'skaul', 'scowl', 'n. 愁容, 阴沉脸色\nvi. 皱眉, 绷着脸\nvt. 怒视', 'v. frown with displeasure'}
wheeling	Never heard of a wizard’s duel before, I suppose?”“Of course he has,” said Ron, wheeling around.	"{'n. a city in the northern panhandle of West Virginia on the Ohio river\nn. propelling something on wheels', 'n. 旋转；道路的行车鉴定', ""'hwi:liŋ"", 'wheeling'}"
sizing	“I’m his second, who’s yours?”Malfoy looked at Crabbe and Goyle, sizing them up.“Crabbe,” he said.	"{'n any glutinous material used to fill pores in surfaces or to stiffen fabrics\nv cover or stiffen or glaze a porous material with size or sizing (a glutinous substance)\nv sort according to size\nv make to a size; bring to a suitable size', 'n. 涂料, 上浆\n[计] 调整大小', 'sizing', ""'saiziŋ""}"
trophy	We’ll meet you in the trophy room; that’s always unlocked.”When Malfoy had gone, Ron and Harry looked at each other.“What is a wizard’s duel?” said Harry.	"{""'trәufi"", 'n. an award for success in war or hunting\nn. something given as a token of victory', 'trophy', 'n. 战利品, 奖品\nvt. 用战利品装饰'}"
granger	[]	"{""'greindʒә"", 'n. 农夫, 农民', 'granger', 'n a person who operates a farm'}"
selfish	It’s really very selfish of you.”“And it’s really none of your business,” said Harry.“Goodbye,” said Ron.All the same, it wasn’t what you’d call the perfect end to the day, Harry thought, as he lay awake much later listening to Dean and Seamus falling asleep (Neville wasn’t back from the hospital wing).	"{""'selfiʃ"", 'a. 自私的, 利己主义的, 自我中心的', 'a. concerned chiefly or only with yourself and your advantage to the exclusion of others', 'selfish'}"
sneering	On the other hand, Malfoy’s sneering face kept looming up out of the darkness — this was his big chance to beat Malfoy facetoface.	"{'v express through a scornful smile\nv smile contemptuously\ns expressive of contempt', ""'sniәriŋ"", 'a. 嘲笑的, 轻蔑的', 'sneering'}"
looming	On the other hand, Malfoy’s sneering face kept looming up out of the darkness — this was his big chance to beat Malfoy facetoface.	"{'looming', ""'lu:miŋ"", 'v come into view indistinctly, often threateningly\nv appear very large or occupy a commanding position\nv hang over, as of something threatening, dark, or menacing\nv weave on a loom', 'n. 上现蜃景；庞视；幽影'}"
bathrobe	He couldn’t miss it.“Halfpast eleven,” Ron muttered at last, “we’d better go.”They pulled on their bathrobes, picked up their wands, and crept across the tower room, down the spiral staircase, and into the Gryffindor common room.	"{'n. 浴衣', 'n. a loose-fitting robe of towelling; worn after a bath or swim', ""'bɑ:θrәub"", 'bathrobe'}"
frown	Anyone interested in playing for their house teams should contact Madam Hooch.“And finally, I must tell you that this year, the thirdfloor corridor on the righthand side is out of bounds to everyone who does not wish to die a very painful death.”Harry laughed, but he was one of the few who did.“He’s not serious?” he muttered to Percy.“Must be,” said Percy, frowning at Dumbledore.	"{""n. a facial expression of dislike or displeasure\nv. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"", 'n. 皱眉\nvi. 皱眉头\nvt. 皱眉表示', 'fraun', 'frown'}"
interfering	“Go back to bed!”“I almost told your brother,” Hermione snapped, “Percy — he’s a prefect, he’d put a stop to this.”Harry couldn’t believe anyone could be so interfering.“Come on,” he said to Ron.	"{'a. 干涉的, 多管闲事的', 's. intrusive in a meddling or offensive manner', 'interfering', "",intә'fiәriŋ""}"
goose	She followed Ron through the portrait hole, hissing at them like an angry goose.“Don’t you care about Gryffindor, do you only care about yourselves, I don’t want Slytherin to win the house cup, and you’ll lose all the points I got from Professor McGonagall for knowing about Switching Spells.”“Go away.”“All right, but I warned you, you just remember what I said when you’re on the train home tomorrow, you’re so —”But what they were, they didn’t find out.	{'goose', 'gu:s', 'n. web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks\nn. flesh of a goose (domestic or wild)\nv. pinch in the buttocks\nv. prod into action', 'n. 鹅, 雌鹅, 鹅肉, 弯把熨斗\nvt. 与...性交, 突然加大油门, 使生色, 喝倒彩'}
shrilly	The Fat Lady had gone on a nighttime visit and Hermione was locked out of Gryffindor tower.“Now what am I going to do?” she asked shrilly.“That’s your problem,” said Ron.	"{'r. in a shrill voice', 'shrilly', ""'ʃrili"", 'adv. 尖声地, 刺耳地'}"
snuffling	I heard something.”It was a sort of snuffling.“Mrs.	"{'snuffling', 'a. 抽着鼻子的, 虚情假意的', 'v sniff or smell inquiringly\nv snuff up mucus through the nose\nv cry or whine with snuffling\ns liable to sniffle', ""'snʌfliŋ""}"
breathed	Norris?” breathed Ron, squinting through the dark.It wasn’t Mrs. Norris.	{'s. uttered without voice', 'a. 清音的, 有气的', 'breathed', 'breθt'}
squinting	Norris?” breathed Ron, squinting through the dark.It wasn’t Mrs. Norris.	"{'', 'squinting', 'n. 斜视', ""v cross one's eyes as if in strabismus\nv be cross-eyed; have a squint or strabismus\nv partly close one's eyes, as when hit by direct blinding light\ns having eyes half closed in order to see better""}"
snout	The password’s ‘Pig snout’ but it won’t help you now, the Fat Lady’s gone off somewhere.”“How’s your arm?” said Harry.“Fine,” said Neville, showing them.	"{'snout', 'snaut', 'n. 鼻口部, 鼻子, 口吻状物, 烟草', ""n. a long projecting or anterior elongation of an animal's head; especially the nose\nn. beaklike projection of the anterior part of the head of certain insects such as e.g. weevils""}"
scrambling	“Madam Pomfrey mended it in about a minute.”“Good — well, look, Neville, we’ve got to be somewhere, we’ll see you later —”“Don’t leave me!” said Neville, scrambling to his feet, “I don’t want to stay here alone, the Bloody Baron’s been past twice already.”Ron looked at his watch and then glared furiously at Hermione and Neville.“If either of you get us caught, I’ll never rest until I’ve learned that Curse of the Bogies Quirrell told us about, and used it on you.”Hermione opened her mouth, perhaps to tell Ron exactly how to use the Curse of the Bogies, but Harry hissed at her to be quiet and beckoned them all forward.They flitted along corridors striped with bars of moonlight from the high windows.	{'', 'n. 混乱；不规则性；攀登；加扰', 'v to move hurriedly\nv climb awkwardly, as if by scrambling\nv bring into random order\nv stir vigorously\nv make unintelligible', 'scrambling'}
striped	“Madam Pomfrey mended it in about a minute.”“Good — well, look, Neville, we’ve got to be somewhere, we’ll see you later —”“Don’t leave me!” said Neville, scrambling to his feet, “I don’t want to stay here alone, the Bloody Baron’s been past twice already.”Ron looked at his watch and then glared furiously at Hermione and Neville.“If either of you get us caught, I’ll never rest until I’ve learned that Curse of the Bogies Quirrell told us about, and used it on you.”Hermione opened her mouth, perhaps to tell Ron exactly how to use the Curse of the Bogies, but Harry hissed at her to be quiet and beckoned them all forward.They flitted along corridors striped with bars of moonlight from the high windows.	{'a. 有斑纹的', 's. marked or decorated with stripes', 'striped', 'straipt'}
moonlight	“Madam Pomfrey mended it in about a minute.”“Good — well, look, Neville, we’ve got to be somewhere, we’ll see you later —”“Don’t leave me!” said Neville, scrambling to his feet, “I don’t want to stay here alone, the Bloody Baron’s been past twice already.”Ron looked at his watch and then glared furiously at Hermione and Neville.“If either of you get us caught, I’ll never rest until I’ve learned that Curse of the Bogies Quirrell told us about, and used it on you.”Hermione opened her mouth, perhaps to tell Ron exactly how to use the Curse of the Bogies, but Harry hissed at her to be quiet and beckoned them all forward.They flitted along corridors striped with bars of moonlight from the high windows.	"{""'mu:nlait"", 'n. 月光\na. 有月光的, 月夜的', 'moonlight', 'n. the light of the Moon\nv. work a second job, usually after hours'}"
edged	They edged along the walls, keeping their eyes on the doors at either end of the room.	{'s. having a specified kind of border or edge\ns. having a cutting edge or especially an edge or edges as specified; often used in combination', 'a. 有某种或几种刃的', 'edged', 'edʒd'}
madly	Horrorstruck, Harry waved madly at the other three to follow him as quickly as possible; they scurried silently toward the door, away from Filch’s voice.	"{'r. in an uncontrolled manner\nr. (used as intensives) extremely', 'adv. 发狂地, 精神失常地, 愚蠢地', 'madly', ""'mædli""}"
mouthed	He didn’t see the owls swooping past in broad daylight, though people down in the street did; they pointed and gazed openmouthed as owl after owl sped overhead.	{'', 'vt. 装腔作势地说（mouth的过去式与过去分词形式）', 'mouthed', 'imp. & p. p. of Mouth\na. Furnished with a mouth.\na. Having a mouth of a particular kind; using the mouth,\n   speech, or voice in a particular way; -- used only in composition; as,\n   wide-mouthed; hard-mouthed; foul-mouthed; mealy-mouthed.'}
petrified	Neville’s robes had barely whipped round the corner when they heard Filch enter the trophy room.“They’re in here somewhere,” they heard him mutter, “probably hiding.”“This way!” Harry mouthed to the others and, petrified, they began to creep down a long gallery full of suits of armor.	{'a. 惊呆的; 目瞪口呆的\nv. 使吓呆, 使惊呆; 变僵硬; 使石化(petrify的过去式和过去分词)', 'v cause to become stonelike or stiff or dazed and stunned\nv change into stone\nv make rigid and set into a conventional pattern', 'petrified', 'ˈpetrɪfaɪd'}
doorpost	Neville suddenly let out a frightened squeak and broke into a run he tripped, grabbed Ron around the waist, and the pair of them toppled right into a suit of armor.The clanging and crashing were enough to wake the whole castle.“RUN!” Harry yelled, and the four of them sprinted down the gallery, not looking back to see whether Filch was following — they swung around the doorpost and galloped down one corridor then another, Harry in the lead, without any idea where they were or where they were going — they ripped through a tapestry and found themselves in a hidden passageway, hurtled along it and came out near their Charms classroom, which they knew was miles from the trophy room.“I think we’ve lost him,” Harry panted, leaning against the cold wall and wiping his forehead.	"{""'dɒ:pәust"", 'n. 门柱', 'doorpost', 'n a jamb for a door'}"
tapestry	Neville suddenly let out a frightened squeak and broke into a run he tripped, grabbed Ron around the waist, and the pair of them toppled right into a suit of armor.The clanging and crashing were enough to wake the whole castle.“RUN!” Harry yelled, and the four of them sprinted down the gallery, not looking back to see whether Filch was following — they swung around the doorpost and galloped down one corridor then another, Harry in the lead, without any idea where they were or where they were going — they ripped through a tapestry and found themselves in a hidden passageway, hurtled along it and came out near their Charms classroom, which they knew was miles from the trophy room.“I think we’ve lost him,” Harry panted, leaning against the cold wall and wiping his forehead.	"{'n. something that resembles a tapestry in its complex pictorial designs\nn. a heavy textile with a woven design; used for curtains and upholstery\nn. a wall hanging of heavy handwoven fabric with pictorial designs', 'n. 挂毯, 绒绣\nvt. 用挂毯装饰', ""'tæpistri"", 'tapestry'}"
stitch	Hagrid took up two seats and sat knitting what looked like a canaryyellow circus tent.“Still got yer letter, Harry?” he asked as he counted stitches.Harry took the parchment envelope out of his pocket.“Good,” said Hagrid.	{'n. a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing\nn. a sharp spasm of pain in the side resulting from running', 'n. 一针, 疼痛, 针法, 碎布条, 针脚\nv. 缝, 缝合, 装订', 'stitʃ', 'stitch'}
doorknob	They hadn’t gone more than a dozen paces when a doorknob rattled and something came shooting out of a classroom in front of them.It was Peeves.	"{""n. a knob used to release the catch when opening a door (often called `doorhandle' in Great Britain)"", ""'dɒ:nɒb"", 'doorknob', 'n. 球形门拉手'}"
saintly	Naughty, naughty, you’ll get caughty.”“Not if you don’t give us away, Peeves, please.”“Should tell Filch, I should,” said Peeves in a saintly voice, but his eyes glittered wickedly.	"{'s marked by utter benignity; resembling or befitting an angel or saint', ""'seintli"", 'saintly', 'a. 圣洁的'}"
wickedly	Naughty, naughty, you’ll get caughty.”“Not if you don’t give us away, Peeves, please.”“Should tell Filch, I should,” said Peeves in a saintly voice, but his eyes glittered wickedly.	"{'adv. 坏透地, 不愉快地, 顽皮地', 'wickedly', ""'wɪkɪdlɪ"", 'r. in a wicked evil manner'}"
swipe	“It’s for your own good, you know.”“Get out of the way,” snapped Ron, taking a swipe at Peeves this was a big mistake.“STUDENTS OUT OF BED!” Peeves bellowed, “STUDENTS OUT OF BED DOWN THE CHARMS CORRIDOR!”Ducking under Peeves, they ran for their lives, right to the end of the corridor where they slammed into a door — and it was locked.“This is it!” Ron moaned, as they pushed helplessly at the door, “We’re done for!	{'n. 强打, 用力挥击, 尖刻的话, 碰擦, 起重杆\nvt. 强打, 用力挥击, 偷', 'swipe', 'n. a sweeping stroke or blow\nv. strike with a swiping motion', 'swaip'}
helplessly	“It’s for your own good, you know.”“Get out of the way,” snapped Ron, taking a swipe at Peeves this was a big mistake.“STUDENTS OUT OF BED!” Peeves bellowed, “STUDENTS OUT OF BED DOWN THE CHARMS CORRIDOR!”Ducking under Peeves, they ran for their lives, right to the end of the corridor where they slammed into a door — and it was locked.“This is it!” Ron moaned, as they pushed helplessly at the door, “We’re done for!	{'', 'r. in a helpless manner', 'helplessly', 'adv. 无能为力地；无助地'}
Shan	“Quick, tell me.”“Say ‘please.’”“Don’t mess with me, Peeves, now where did they go?”“Shan’t say nothing if you don’t say please,” said Peeves in his annoying singsong voice.“All right — please.”“NOTHING!	{'ʃɑ:n, ʃæn', 'n a branch of the Tai languages', 'Shan', 'n. 掸人, 掸族（居住在东南亚一带）；掸邦（前缅甸联邦的成员国之一）'}
singsong	“Quick, tell me.”“Say ‘please.’”“Don’t mess with me, Peeves, now where did they go?”“Shan’t say nothing if you don’t say please,” said Peeves in his annoying singsong voice.“All right — please.”“NOTHING!	"{'n. 单调无味, 单调的歌\na. 单调的\nv. 单调地唱', ""'siŋsɒŋ"", 'singsong', 'n. a regular and monotonous rising and falling intonation\nv. speak, chant, or declaim in a singsong\nv. move as if accompanied by a singsong'}"
tugging	“I think we’ll be okay — get off, Neville!” For Neville had been tugging on the sleeve of Harry’s bathrobe for the last minute.	"{'[医] 牵引感\n[经] 拖带', 'tugging', 'v pull hard\nv strive and make an effort to reach a goal\nv tow (a vessel) with a tug\nv carry with difficulty\nv move by pulling hard\nv pull or strain hard at\nv struggle in opposition', ""'tʌ^iŋ""}"
